alpha,beta,coherence,model,coherencemodel
0.01,0.01,0.337996107406476,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.01,0.38,0.3306484689607296,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.01,0.75,0.37229741126880495,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.01,symmetric,0.33491503878439544,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.38,0.01,0.3498485255486493,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.38,0.38,0.3343643729442286,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.38,0.75,0.36050489149865084,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.38,symmetric,0.34126178108476546,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.75,0.01,0.34870995110974345,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.75,0.38,0.35172409347336336,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.75,0.75,0.3461618991478184,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
0.75,symmetric,0.3520691369377419,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
symmetric,0.01,0.3454125780691336,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
symmetric,0.38,0.3343643729442286,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
symmetric,0.75,0.3705062359995125,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
symmetric,symmetric,0.3378387771624387,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
asymmetric,0.01,0.3563980120008866,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
asymmetric,0.38,0.3452715245571237,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
asymmetric,0.75,0.34933861463636984,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
asymmetric,symmetric,0.353332368248121,"LdaMulticore<num_terms=37595, num_topics=5, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001DE29057F40>, prob=<function p_boolean_sliding_window at 0x000001DE290A0040>, conf=<function cosine_similarity at 0x000001DE290FCEE0>, aggr=<function arithmetic_mean at 0x000001DE290FD5A0>)"
