alpha,beta,coherence,model,coherencemodel
0.01,0.01,0.4470204007451825,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.01,0.38,0.4470334988365303,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.01,0.75,0.4466316776570894,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.01,symmetric,0.442547533312676,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.38,0.01,0.45465544369759175,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.38,0.38,0.45143541041701135,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.38,0.75,0.4496126982540427,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.38,symmetric,0.45476287304002366,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.75,0.01,0.44996627854956067,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.75,0.38,0.4499662785495606,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.75,0.75,0.455022380835628,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
0.75,symmetric,0.44996627854956067,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
symmetric,0.01,0.44877784262834997,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
symmetric,0.38,0.44512673273018827,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
symmetric,0.75,0.44663167765708933,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
symmetric,symmetric,0.44885621099949913,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
asymmetric,0.01,0.46042658970189015,"LdaMulticore<num_terms=8716, num_topics=6, decay=0.5, chunksize=2000>","Coherence_Measure(seg=<function s_one_set at 0x000001BF3BD47F40>, prob=<function p_boolean_sliding_window at 0x000001BF3BD90040>, conf=<function cosine_similarity at 0x000001BF3BDE8EE0>, aggr=<function arithmetic_mean at 0x000001BF3BDE95A0>)"
