,0
workforce,0.013160384830316377
qcom,0.010064744428552186
passive,0.009226129230904576
finisar,0.008702434721892313
value stock,0.007092198581560351
lunch,0.006848223383342611
slump apple,0.006820678271766523
th,0.006738850609525315
stock buy,0.006382978723404316
share gain,0.006327096478396627
macbook,0.005743483927389967
investor stock,0.005715435567635438
wi,0.005132264661257373
halt,0.003992131688886355
low cost,0.003877475274545341
break,0.003816343907604336
special,0.0036410372987974353
ahead apple,0.003619850228151006
nokia,0.003619850228151006
need,0.0035587188612100007
production,0.0035587188612100007
report,0.0035587188612100007
thing,0.0035587188612100007
watch,0.0035587188612100007
earnings recession,0.0034233565486976756
operation,0.003383776101438631
cfo,0.003362225181756671
value trap,0.003362225181756671
shop,0.003263274063609039
expected,0.0032028469750890005
