,0
workforce,0.02116753316455156
portfolio,0.01657461013914968
big,0.015917578586776525
report,0.015764910874932613
major,0.015403983109973781
lunch,0.012346278350088726
crash,0.011390292647734853
break,0.011303909568723404
qcom,0.010812514908728256
fall,0.009318187561573212
second,0.009189019324098418
highlight,0.008867567105699286
chart day,0.008359002798081477
value,0.008265777746303438
soar,0.008259653452267866
million,0.008226301481704019
shopping,0.007976402855443784
macbook,0.007845579838911543
slump apple,0.007825937392500853
analyst,0.007779603468308693
announces,0.00772904587988745
enters,0.007430340557275539
beat earnings,0.0071344883822623845
apple dispute,0.006874347372084847
fb,0.006832946069200893
analyst blog,0.006813511817461872
revenue,0.0065797696049297305
google,0.006483432156211333
rare,0.006279272842740288
deal apple,0.006243550051599601
