,0
decline,0.012382015086288247
qcom,0.011834238838873579
macbook,0.011480887672572725
passive,0.009737992886199684
beat,0.009167376400363234
unit,0.009053155313413433
workforce,0.008869609180621445
uncertainty,0.008658008658008557
post,0.008579073690399976
asian stock,0.008541052012134884
best,0.0075856908926226554
positioned slump,0.006812528421541354
ad,0.006526417903251475
finisar,0.006121281464530783
slump apple,0.006118692478578094
holding,0.006002840415965379
production,0.005786560210123406
new,0.005670839149122535
iphone unit,0.005652874577025552
daily,0.0054635408580447345
instant,0.005407980085938408
google,0.005355225972201383
device,0.005025208121432218
chip,0.004912747037780976
card,0.004896585265050588
app store,0.004869550721718911
apple dispute,0.004686899731079441
margin,0.004661427449932276
earnings recession,0.004658838463979588
operation,0.004529444843463712
