,0
workforce,0.014583577476342546
device,0.012321275568370042
stage,0.012034450316566608
unit,0.011745303417320045
apple dispute,0.011327374776228156
analyst,0.011145482795101302
positioned slump,0.010898326685195098
macbook,0.010692342400721946
nokia,0.010353365349999328
new,0.009754383235998889
investor stock,0.00941793194019133
flash,0.008890023142499325
highlight,0.008643397758168091
share,0.008390957747281417
fb,0.008116326580150773
chart day,0.008059346526310083
music,0.00793595208807837
app store,0.0077933218080898205
crash,0.007656850296968892
slump apple,0.0073162335569683335
chip,0.007313885805790112
matter,0.007307543721047324
portfolio,0.007278956260742288
source,0.007145832854258391
passive,0.0071175011474721595
online,0.006851166557996127
competitive edge,0.006781011045029766
halt,0.0067169845408646634
away,0.006579226847918444
fall,0.0065493604351199875
