,0
new,0.013183811531042195
card,0.01219308153380145
roundup,0.011860188870733361
workforce,0.010649333957604638
qcom,0.01038249509368615
instant,0.009637922645441459
nokia,0.00941153249423928
meet,0.008330303305760137
amazon,0.008318274018997701
production,0.008307285234764867
st,0.007971279762350738
need,0.007092513734182709
price target,0.0064350210586916895
macbook,0.006073574678780605
away,0.0059986854341913184
share,0.0059199163712389926
second,0.0058464148946832505
shopping,0.0057684380626451025
ad,0.005396652965899913
earnings report,0.005301055903611712
packard,0.004924112311234975
soar,0.0049123984615855555
wednesday,0.004831309041835341
lure,0.0048313090418353405
rare,0.004820762215090042
hike,0.004820074156238416
continue,0.00459431426979834
ramp,0.004466936572199714
intel intc,0.004449595491319005
ericsson,0.0039541160593792035
