,0
passive,0.009952015225091588
workforce,0.009639479163962803
investor stock,0.00810487742060632
halt,0.007702570745143094
shop,0.0071696669363767295
slump apple,0.006733822473329418
share gain,0.006562291805463004
lunch,0.006075166614769382
finisar,0.005693836233040876
wi,0.005600306866129593
holding,0.00453225987869552
ahead apple,0.00417250692900256
qqq,0.004135030292077233
low cost,0.004035404968116463
future point,0.004016370039021538
earnings recession,0.003916436661273422
stock open,0.0038993484862904575
list,0.0038974017321784958
mart store,0.0038974017321784958
soar,0.0038974017321784958
ericsson,0.0038974017321784953
nokia,0.0037784334253354534
qcom,0.003777532150283581
apple hit,0.0037593984962405276
kid,0.0037593984962405276
price target,0.0037593984962405276
value trap,0.0035214618825544436
cfo,0.0035214618825544428
pandora,0.0034850189021612297
ad,0.003437859608745636
