,0
Open,0.06003568004595269
Close,0.047758572263025226
workforce,0.01800046502447496
revenue,0.012282650668995036
report,0.009869610510028133
rare,0.009739532123037816
nokia,0.009443801940518042
roundup,0.009201236813998218
opening bell,0.008786900817614806
qcom,0.008762647768481822
soar,0.007947043999315357
slump apple,0.007773284108071821
shopping,0.006351736868602137
enters,0.005934311598266541
dow stock,0.005862288241003667
pressure,0.005853163282429958
plan,0.005658941633079588
deal apple,0.005658835375062979
amazon,0.005648487292655087
spirit aerosystems,0.005512669911058921
operation,0.005424515180498633
wednesday,0.005371423529798721
finally,0.00522317093944301
lunch,0.005216708220093803
value,0.005151829165967471
apple dispute,0.005004237288135615
announces,0.004876383346940585
encouraging,0.00487497902332606
macbook,0.004790914422759885
shop,0.004664499077026381
