,0
Open,0.07441660123258984
Close,0.06132224340861029
investor,0.022082046296566245
new,0.015344917344664482
fb,0.013460206890600873
neutral,0.013208815439860064
google,0.01112405971583872
highlight,0.01036683652038321
workforce,0.009795976962894732
instant,0.009441188750116871
security,0.00861867518806203
soar,0.008381514057718052
trump,0.008236621062102375
plan,0.007908027346086621
analyst,0.00764546664681526
monday,0.007325564199328551
level,0.00731771429597456
negative,0.007227443457757185
music,0.007075894961932325
app,0.006719524655706086
blog highlight,0.006536465586604166
bitcoin,0.006495163629911013
away,0.006383851960436801
production,0.00626684387052427
announces,0.006009974926812818
share,0.005850152532637906
report,0.005775194768764322
big,0.005748457277464703
slump apple,0.005678826697031506
jump,0.005657968142631363
