,0
macbook,0.012437906060752374
workforce,0.010229067424016646
apple dispute,0.009652805737881378
qcom,0.008922484279303455
nokia,0.008537705917927785
finisar,0.007535258078473892
slump apple,0.00738073685442103
ready,0.006625507847569825
new,0.006470943691563705
investor stock,0.006190803908900447
program,0.006035605826521416
cloud,0.005887305436692537
deal apple,0.005864692443639784
amd,0.005739005046863657
app store,0.005734853946822169
platform,0.005728708277374438
beat,0.005280308492276718
amazon roundup,0.005258416311047865
low cost,0.005107363002099819
nfl,0.005107363002099819
galaxy,0.004960404697246776
strong result,0.004951017747070347
wednesday,0.00466236229394122
supply,0.004529985185861486
analytics,0.004378755106945418
earnings recession,0.004358870148343814
shop,0.004209848946691036
hawaiian holding,0.004206462101198923
weak china,0.004202397886608386
technology fund,0.004060150375939835
