,0
neutral,0.02531482339082965
Open,0.024758973955553674
production,0.0195809169497076
google,0.0177726972718437
amazon,0.014365810898755544
st,0.013174926737460324
app store,0.01125896212799279
roundup,0.010986208950346344
share,0.010087703087557028
negative,0.009226497439471484
plan,0.009070144349581742
highlight,0.008726721415044702
set,0.008516749253175382
Close,0.008140448698928488
blackberry,0.008128375714937741
financials,0.007925287033793894
sell,0.007910844154935323
share gain,0.007574010864223851
price target,0.0073764493379199604
monday,0.0070334283770532744
positive,0.006864515059492987
revenue,0.006790579808922349
qcom,0.00663299827299649
rare,0.006220579924566176
holiday season,0.006015976873621291
positioned slump,0.006011515014676097
ramp,0.006011515014676097
microsoft,0.006008128245653718
vehicle,0.0058172738501588005
soon,0.005813953488372207
