,0
weak,0.018216592995579768
macbook,0.017171030261815757
nasdaq,0.012465997959877614
double,0.008806528391703572
away,0.008283747024821497
clear,0.006715402924175462
buying,0.006192621557293485
video,0.0061926215572934845
critical,0.00514705882352943
loss,0.00462427745664743
recession,0.004101496089765454
maker,0.004101496089765414
release,0.003578714722883376
oversold,0.0030559333560013996
plus,0.003055933356001379
voice,0.0030559333560013593
widens,0.003055933356001359
iphone,0.002533151989119382
reversed,0.002533151989119382
patent,0.002533151989119341
discount,0.002533151989119321
europe,0.002010370622237364
talk,0.002010370622237364
channel,0.0020103706222373437
ad,0.0020103706222373238
intc,0.0020103706222373034
asian,0.0014875892553553461
presidency,0.0014875892553553461
tumble,0.001487589255355346
thursday,0.0014875892553553262
