,0
chip,0.019240297274979345
research,0.019240297274979303
investor,0.018731076245527077
technology,0.0177126341866226
recession,0.017203413157170368
big,0.015166529039361401
iforex,0.01465730800990915
wireless,0.01312964492155239
lower,0.01262042389210016
track,0.011601981833195666
split,0.011601981833195664
boost,0.011092760803743417
changing,0.010583539774291169
set,0.010583539774291167
video,0.010074318744838941
warren,0.01007431874483894
launch,0.010074318744838922
dollar,0.009565097715386692
qcom,0.009565097715386672
data,0.009055876685934463
bell,0.009055876685934421
plus,0.008546655656482197
price,0.008546655656482197
discount,0.008546655656482178
sale,0.00803743462702997
coming,0.008037434627029948
pharma,0.00803743462702993
rule,0.00803743462702993
case,0.008037434627029928
watch,0.00752821359757772
