,0
launch,0.013334509994263768
recession,0.011295944932268449
year,0.010276662401270816
research,0.00976702113577198
stand,0.0077284560737766374
led,0.007218814808277784
clear,0.006709173542778948
investigation,0.006709173542778948
rally,0.006199532277280132
big,0.006199532277280113
lower,0.005180249746282462
venture,0.005180249746282462
boost,0.004670608480783646
investor,0.004670608480783626
qcom,0.004670608480783626
channel,0.004670608480783606
french,0.004160967215284811
warren,0.004160967215284811
passive,0.0036513259497859955
macbook,0.003651325949785955
video,0.0031416846842871405
pull,0.0031416846842871396
critical,0.002632043418788344
headquarters,0.002632043418788305
tuesday,0.002632043418788305
data,0.0026320434187883045
greece,0.0026320434187883045
way,0.0026320434187883045
open,0.002632043418788285
presidency,0.002632043418788285
