,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,precision_weighted_mean,precision_weighted_std
LogisticRegression,0.617627255588473,0.0,0.6184971098265896,0.0,0.6180331875662607,0.0
RandomForestClassifier,0.6266428935303108,0.0,0.6271676300578035,0.0,0.6268098551526947,0.0
MLPClassifier,0.6660134763476349,0.0,0.6647398843930635,0.0,0.6657060575999798,0.0
LinearDiscriminantAnalysis,0.6266428935303108,0.0,0.6271676300578035,0.0,0.6268098551526947,0.0
GaussianNB,0.6290890269151139,0.0,0.5953757225433526,0.0,0.6267978314723728,0.0
MultinomialNB,0.661226580796253,0.0,0.653179190751445,0.0,0.6601220370646126,0.0
BernoulliNB,0.6375260184359204,0.0,0.630057803468208,0.0,0.6365755183491206,0.0
KNeighborsClassifier,0.5748401386060801,0.0,0.5751445086705202,0.0,0.574888561116332,0.0
DecisionTreeClassifier,0.607412559618442,0.0,0.5838150289017341,0.0,0.6057440473455434,0.0
SVC,0.26011560693641617,0.0,0.5202312138728323,0.0,0.27064051588760063,0.0
