,0
higher,0.010139912011458986
shopping,0.009644720687538366
workforce,0.009607105892529695
airpods,0.009425443297205353
lower,0.009184571311643127
com,0.009048078329995102
cook,0.008250856198317348
notch,0.00739412568306008
app store,0.007238864645332331
digital,0.0071532349571595795
american,0.007072371019045355
decline,0.0067133374242025505
investor,0.006360484706967376
stock set beat,0.005857240437158445
stock market,0.00555352013871817
content,0.005547882136279948
iphone plus,0.0053107923497267544
sink,0.005001151012891373
south,0.004949355432780888
risk,0.004923415597529083
performance,0.0046095235938773725
stock jump,0.0046095235938773725
dividend etf,0.004557728013766887
alphabet,0.004416893019798482
war,0.0038511394787409925
buy stock,0.003406678432576251
overbought,0.0030863946275205218
different,0.0028964470974894986
alibaba,0.0025833949722750575
stock continue,0.0023437854506323905
