,0
workforce,0.01159121733796921
stock jump,0.009871974212747043
halt,0.008638721153331228
qcom,0.008275307455931974
passive,0.006786445003775505
soar,0.006422047822295582
betting,0.006160775777701966
germany,0.005802458822382772
crackdown,0.005682224975905206
notch,0.005555082857154069
investor stock,0.005167565806231356
benefit,0.005066321304619999
comp,0.005058019001788086
rescue,0.004573408600669971
politics,0.0045678909211481645
sinopec,0.004565106297838057
phone,0.004454082335123109
ipo stock,0.004447198127495453
upgraded strong,0.0042016613887740735
india,0.0038386376110131014
report,0.0037174721189589697
crypto,0.0037105879113313147
earnings earnings,0.003567300134091552
export curb,0.003567300134091552
free lunch,0.003564487581834269
iphone plus,0.00344708003884026
party,0.0033383680010339993
clash,0.003219514433888556
launch,0.003219514433888556
iphone watch,0.003195080223794235
