,0
report,0.02187853054372011
nasdaq,0.016259369307146405
capital,0.014601903264535785
qcom,0.01383583467219561
notch,0.01342742521328356
music,0.013399082459983544
global,0.011640153423040788
prospect,0.011379249207303547
higher,0.010892405734289424
crackdown,0.01084089992545434
analyst,0.010616204236042452
surpass,0.009827472194725916
stock jump,0.0077147474914868175
shine,0.007063038041150281
halt,0.006952424380604982
market,0.006804739151156693
say,0.006660517518655701
highlighted zacks bull,0.006619418122731413
week,0.006606038993213548
clash,0.006518675123326314
dividend etf,0.006486617197971582
investor stock,0.006442426351928659
cook,0.006430331517789124
bad,0.0063650872611201335
pressure,0.00634463700479973
unit sale,0.0063371236548128655
matter,0.006311578210978458
carrier,0.006242659149635903
ericsson,0.006242659149635903
green,0.006239397003575537
