,0
bad,0.014327844698404873
capital,0.01305284171813988
week,0.01138040152433238
nasdaq,0.010371274635973862
crypto,0.009587159740027143
halt,0.009505593788307676
workforce,0.009450445480233025
stock jump,0.008864291870618147
market apple,0.00814198691467952
surge,0.0076989626149069
qcom,0.00721563036100097
shell,0.006935363112227819
bull bear,0.006401391870102106
investor,0.006067401586810727
report apple,0.005961915751432648
big,0.005920888682893944
boost,0.0058684201246433825
value investor pick,0.005288175294749222
ipo stock,0.0052514506769825355
weak,0.0052104571268215254
enterprise,0.005157561368409636
risk,0.005133763585458763
goldman sachs,0.005066531047822282
fall tech,0.00491940683430039
stock set beat,0.00491940683430039
watching,0.00491940683430039
highlight apple,0.004912576381080309
comp,0.004878351194315048
benefit,0.004875893442690956
industry outlook,0.004785255532219259
