,0
investor,0.01845011960299301
higher,0.016579980246708922
capital,0.01313383721024482
alphabet,0.012636876838749372
say,0.012550651616914932
iphone,0.012275895616269255
daily analysis august,0.011326959042105272
dow,0.011112448297452147
bid,0.010634374231620258
better,0.01022069683840951
today,0.0100697379543533
trump,0.009897515862177925
taking,0.009334622296430208
analyst,0.00850243141895152
shopping,0.008446140778326637
new,0.008347603414560477
zacks analyst blog,0.008215205307293945
qcom,0.007977077982503146
source apple,0.0078354233259568
overbought,0.0074144444196078615
enterprise,0.0072330136874025576
cook,0.007136801043325143
post earnings,0.007057823129251593
notch,0.0070567986230635595
stock jump,0.006990298857768626
soar,0.006964156394297758
consider,0.00686469768630335
make,0.006859332676285907
share surge,0.0063775510204080385
week,0.006099085821783454
