,0
workforce,0.011743417466179767
soar,0.010001411468038384
halt,0.00874188749891157
qcom,0.008496676631933386
passive,0.006871197718631203
germany,0.006628748475500419
stock jump,0.006470375934431434
betting,0.006223296955272417
crackdown,0.005764594268690653
investor stock,0.005594955446550401
notch,0.005370229212999519
ipo stock,0.00488207547169813
benefit,0.004753748475500421
rescue,0.004634433962264174
politics,0.004624031494368332
sinopec,0.004621161848052271
upgraded strong,0.004257075471698129
need,0.004010823947198556
export curb,0.0039828897338403686
roundup regulatory,0.0039828897338403686
free lunch,0.003978086004888922
party,0.00376179245283022
clash,0.0036438679245283543
surge,0.0036438679245283543
earnings earnings,0.003605038022813764
launch,0.0035141509433962654
delay,0.003513657722935705
iphone plus,0.00348621673003804
dividend etf,0.0032271863117871594
short seller,0.0032271863117871594
