,0
report,0.017876772489298802
positive,0.015231513878452835
qcom,0.013737192485198368
notch,0.012707911090050882
prospect,0.011468668687646755
capital,0.011440116954245245
passive,0.009908516002610683
soar,0.009464614539071662
boost,0.009202484164240923
music,0.008997373149432535
stock jump,0.008825684170839109
numArticles,0.00848162415915902
cook,0.008012266118585595
surpass,0.007811750335242224
opening bell,0.007694088263640898
highlighted zacks bull,0.007520703932336436
market,0.007072203078298915
global,0.006964241685600512
negative,0.0068530887276634315
investor stock,0.006663278120590454
bad,0.006431451031806186
upgraded strong,0.006369896704377849
shine,0.006008937635398969
clash,0.005961633054599196
chart,0.00585219915726053
decline,0.005802298720329271
changing,0.005723629074268177
downgrade,0.005605592824774283
performance,0.005373151510711639
iphone plus,0.005368860608470938
