,0
say,0.0020817980840089137
india,0.001252715178936352
line,0.0008327192336035655
highlighted zacks bull,0.0004310344827586325
boj,0.00041635961680178276
bullish,0.00041635961680178276
case,0.00041635961680178276
comp,0.00041635961680178276
contract,0.00041635961680178276
cook,0.00041635961680178276
digital,0.00041635961680178276
fall short,0.00041635961680178276
growth,0.00041635961680178276
growth stock,0.00041635961680178276
industry outlook,0.00041635961680178276
market apple,0.00041635961680178276
notch,0.00041635961680178276
reveals,0.00041635961680178276
surge,0.00041635961680178276
unit sale,0.00041635961680178276
week,0.00041635961680178276
ad,1.826417299825231e-05
stock market,1.826417299825231e-05
