,0
numArticles,0.012987353705005414
qcom,0.012236695216430383
halt,0.0110823109220897
launch,0.008783873455519179
capital,0.008201449657312756
passive,0.007479539124817643
crypto,0.00704220224071998
highlight apple,0.006605371979721397
zacks analyst blog,0.006476694075674867
investor stock,0.006178849152348964
unit,0.005890456845281095
ipo stock,0.005615248061291153
nasdaq,0.005453802254806776
stock set beat,0.0053287240337599176
notch,0.005321216853999317
workforce,0.005315539942988481
stock new,0.0051735674204832684
qualcomm qcom,0.0048844911042614765
weak,0.004880131748427939
market apple,0.004747540337473303
sinopec,0.004601792393567667
mastercard,0.004589253227373276
press,0.00446851275288948
bull bear,0.004464147164659154
matter,0.0044288277634740745
upgraded strong,0.004322775545797033
earnings,0.004307728260048792
service pmi,0.004303368398118778
enterprise,0.0041625099989255985
clash,0.004036251518265799
