,0
negative,0.025514739147631544
report,0.01798131819367741
passive,0.015803274283864847
neutral,0.01560932310072732
week,0.015460676314589455
nasdaq,0.01415685053217798
launch,0.013644032257649078
crypto,0.011862531371938365
alphabet,0.009530558286097278
investor,0.008940733965252533
tech,0.008908006199316327
consider,0.00837462827475292
mastercard,0.007460592130286941
war,0.007107514118184231
daily analysis august,0.006510404914244991
make,0.006504176325020458
matter,0.006504176325020458
stock continue,0.00618886798188112
retail,0.00606298018728297
cyber monday,0.005917159763313619
stock jump,0.005744461443511608
workforce,0.005713802009545705
iphones,0.0056768897208753
unit,0.005648597651455467
row,0.005457773335297625
patent,0.005200126063662147
stock slump,0.005193822880554666
com,0.005190022102825679
cyber,0.005063843039551539
dividend etf,0.004866057358966264
